Title                                                           14.02.2022 14:36
________________________________________________________________________________

Title
Evaluation Categories:

Curve Name:
  !&]3[PETBT 1402
Curve Values:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]        [Wg^-1]
            340            340        76.6124        76.6667      -0.166539
            341            341         76.779        76.8333      -0.166665
            342            342        76.9456             77      -0.166791
            343            343        77.1121        77.1667      -0.166928
            344            344        77.2787        77.3333      -0.167074
            345            345        77.4453           77.5      -0.167255
            346            346        77.6118        77.6667      -0.167426
            347            347        77.7784        77.8333      -0.167606
            348            348         77.945             78      -0.167796
            349            349        78.1115        78.1667      -0.168013
            350            350        78.2781        78.3333       -0.16821
            351            351        78.4446           78.5      -0.168405
            352            352        78.6112        78.6667      -0.168605
            353            353        78.7777        78.8333      -0.168809
            354            354        78.9443             79      -0.169027
            355            355        79.1108        79.1667      -0.169261
            356            356        79.2774        79.3333      -0.169504
            357            357        79.4439           79.5      -0.169781
            358            358        79.6104        79.6667      -0.170046
            359            359         79.777        79.8333      -0.170309
            360            360        79.9435             80      -0.170576
            361            361          80.11        80.1667      -0.170859
            362            362        80.2766        80.3333      -0.171133
            363            363        80.4431           80.5      -0.171412
            364            364        80.6096        80.6667      -0.171698
            365            365        80.7762        80.8333      -0.171961
            366            366        80.9427             81      -0.172227
            367            367        81.1092        81.1667      -0.172497
            368            368        81.2758        81.3333      -0.172769
            369            369        81.4423           81.5         -0.173
            370            370        81.6088        81.6667       -0.17324
            371            371        81.7754        81.8333      -0.173476
            372            372        81.9419             82      -0.173715
            373            373        82.1085        82.1667      -0.173866
            374            374        82.2751        82.3333      -0.174044
            375            375        82.4416           82.5      -0.174233
            376            376        82.6082        82.6667      -0.174426
            377            377        82.7747        82.8333      -0.174605
            378            378        82.9413             83      -0.174796
            379            379        83.1078        83.1667      -0.175001
            380            380        83.2744        83.3333      -0.175217
            381            381        83.4409           83.5      -0.175448
            382            382        83.6075        83.6667      -0.175661
            383            383         83.774        83.8333      -0.175865
            384            384        83.9406             84      -0.176068
            385            385        84.1071        84.1667      -0.176242
            386            386        84.2737        84.3333      -0.176415
            387            387        84.4403           84.5      -0.176547
            388            388        84.6069        84.6667      -0.176652
            389            389        84.7735        84.8333      -0.176752
            390            390          84.94             85      -0.176885
            391            391        85.1066        85.1667      -0.177027
            392            392        85.2732        85.3333      -0.177168
            393            393        85.4397           85.5      -0.177319
            394            394        85.6063        85.6667      -0.177485
            395            395        85.7729        85.8333      -0.177655
            396            396        85.9395             86      -0.177715
            397            397        86.1061        86.1667      -0.177701
            398            398        86.2727        86.3333      -0.177736
            399            399        86.4393           86.5      -0.177783
            400            400        86.6059        86.6667      -0.177822
            401            401        86.7725        86.8333      -0.177863
            402            402        86.9391             87      -0.177932
            403            403        87.1057        87.1667      -0.177978
            404            404        87.2723        87.3333      -0.178023
            405            405        87.4389           87.5      -0.178068
            406            406        87.6055        87.6667      -0.178135
            407            407        87.7721        87.8333      -0.178196
            408            408        87.9387             88      -0.178243
            409            409        88.1053        88.1667      -0.178288
            410            410         88.272        88.3333      -0.178308
            411            411        88.4386           88.5      -0.178314
            412            412        88.6052        88.6667      -0.178308
            413            413        88.7718        88.8333      -0.178287
            414            414        88.9385             89      -0.178229
            415            415        89.1051        89.1667      -0.178193
            416            416        89.2717        89.3333      -0.178152
            417            417        89.4384           89.5      -0.178097
            418            418         89.605        89.6667      -0.178156
            419            419        89.7716        89.8333      -0.178223
            420            420        89.9382             90      -0.178304
            421            421        90.1047        90.1667      -0.178383
            422            422        90.2714        90.3333      -0.178289
            423            423        90.4381           90.5      -0.178201
            424            424        90.6047        90.6667      -0.178063
            425            425        90.7714        90.8333      -0.177872
            426            426        90.9379             91      -0.178159
            427            427        91.1045        91.1667      -0.178363
            428            428         91.271        91.3333      -0.178506
            429            429        91.4377           91.5      -0.178519
            430            430        91.6043        91.6667      -0.178441
            431            431         91.771        91.8333      -0.178399
            432            432        91.9376             92      -0.178378
            433            433        92.1042        92.1667      -0.178444
            434            434        92.2708        92.3333      -0.178487
            435            435        92.4374           92.5       -0.17852
            436            436         92.604        92.6667      -0.178547
            437            437        92.7706        92.8333      -0.178554
            438            438        92.9372             93      -0.178541
            439            439        93.1039        93.1667      -0.178526
            440            440        93.2705        93.3333      -0.178517
            441            441        93.4371           93.5      -0.178512
            442            442        93.6037        93.6667      -0.178517
            443            443        93.7704        93.8333      -0.178515
            444            444         93.937             94       -0.17851
            445            445        94.1036        94.1667      -0.178511
            446            446        94.2702        94.3333      -0.178527
            447            447        94.4368           94.5      -0.178532
            448            448        94.6035        94.6667      -0.178525
            449            449        94.7701        94.8333      -0.178522
            450            450        94.9367             95      -0.178515
            451            451        95.1033        95.1667      -0.178505
            452            452          95.27        95.3333      -0.178492
            453            453        95.4366           95.5      -0.178477
            454            454        95.6032        95.6667       -0.17846
            455            455        95.7698        95.8333      -0.178449
            456            456        95.9365             96      -0.178434
            457            457        96.1031        96.1667      -0.178414
            458            458        96.2697        96.3333      -0.178393
