Title                                                           02.12.2022 08:56
________________________________________________________________________________

Title
Evaluation Categories:

Curve Name:
  !&BBImp_22_03_04
Curve Values:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]        [Wg^-1]
            207            207        14.4469           14.5      -0.235817
            208            208        14.6135        14.6667      -0.235987
            209            209          14.78        14.8333      -0.236184
            210            210        14.9466             15      -0.236397
            211            211        15.1132        15.1667      -0.236173
            212            212        15.2798        15.3333      -0.236319
            213            213        15.4464           15.5      -0.236505
            214            214        15.6129        15.6667      -0.236689
            215            215        15.7795        15.8333      -0.236858
            216            216        15.9461             16      -0.237012
            217            217        16.1127        16.1667      -0.237172
            218            218        16.2792        16.3333      -0.237337
            219            219        16.4458           16.5       -0.23746
            220            220        16.6124        16.6667      -0.237595
            221            221        16.7789        16.8333      -0.237744
            222            222        16.9455             17      -0.237903
            223            223        17.1121        17.1667      -0.238051
            224            224        17.2787        17.3333      -0.238192
            225            225        17.4452           17.5      -0.238342
            226            226        17.6118        17.6667        -0.2385
            227            227        17.7784        17.8333      -0.238649
            228            228        17.9449             18      -0.238795
            229            229        18.1115        18.1667      -0.238942
            230            230        18.2781        18.3333      -0.239092
            231            231        18.4446           18.5      -0.239243
            232            232        18.6112        18.6667      -0.239372
            233            233        18.7778        18.8333      -0.239502
            234            234        18.9444             19      -0.239642
            235            235        19.1109        19.1667      -0.239766
            236            236        19.2775        19.3333      -0.239886
            237            237        19.4441           19.5      -0.240001
            238            238        19.6107        19.6667      -0.240115
            239            239        19.7773        19.8333      -0.240234
            240            240        19.9438             20      -0.240368
            241            241        20.1104        20.1667      -0.240505
            242            242         20.277        20.3333      -0.240646
            243            243        20.4435           20.5      -0.240807
            244            244        20.6101        20.6667      -0.240955
            245            245        20.7767        20.8333      -0.241092
            246            246        20.9432             21      -0.241227
            247            247        21.1098        21.1667      -0.241349
            248            248        21.2764        21.3333      -0.241472
            249            249         21.443           21.5      -0.241584
            250            250        21.6096        21.6667      -0.241681
            251            251        21.7761        21.8333      -0.241745
            252            252        21.9427             22      -0.241828
            253            253        22.1093        22.1667       -0.24191
            254            254        22.2759        22.3333      -0.241995
            255            255        22.4425           22.5      -0.242079
            256            256        22.6091        22.6667      -0.242183
            257            257        22.7756        22.8333      -0.242305
            258            258        22.9422             23      -0.242431
            259            259        23.1088        23.1667      -0.242546
            260            260        23.2753        23.3333      -0.242707
            261            261        23.4419           23.5      -0.242857
            262            262        23.6085        23.6667      -0.242998
            263            263        23.7751        23.8333      -0.243142
            264            264        23.9416             24      -0.243244
            265            265        24.1082        24.1667      -0.243365
            266            266        24.2748        24.3333      -0.243486
            267            267        24.4414           24.5      -0.243601
            268            268        24.6079        24.6667      -0.243691
            269            269        24.7745        24.8333      -0.243798
            270            270        24.9411             25      -0.243919
            271            271        25.1077        25.1667      -0.244047
            272            272        25.2742        25.3333      -0.244177
            273            273        25.4408           25.5      -0.244322
            274            274        25.6074        25.6667      -0.244469
            275            275        25.7739        25.8333      -0.244612
            276            276        25.9405             26      -0.244762
            277            277        26.1071        26.1667      -0.244896
            278            278        26.2736        26.3333      -0.245028
            279            279        26.4402           26.5      -0.245159
            280            280        26.6068        26.6667      -0.245264
            281            281        26.7734        26.8333      -0.245377
            282            282        26.9399             27      -0.245498
            283            283        27.1065        27.1667      -0.245623
            284            284        27.2731        27.3333      -0.245767
            285            285        27.4397           27.5      -0.245917
            286            286        27.6062        27.6667      -0.246074
            287            287        27.7728        27.8333       -0.24623
            288            288        27.9393             28      -0.246395
            289            289        28.1059        28.1667      -0.246556
            290            290        28.2725        28.3333      -0.246734
            291            291         28.439           28.5      -0.246916
            292            292        28.6056        28.6667      -0.247065
            293            293        28.7722        28.8333      -0.247212
            294            294        28.9387             29      -0.247451
            295            295        29.1052        29.1667      -0.247727
            296            296        29.2718        29.3333       -0.24774
            297            297        29.4384           29.5      -0.247846
            298            298         29.605        29.6667      -0.247974
            299            299        29.7716        29.8333       -0.24809
            300            300        29.9381             30      -0.248212
            301            301        30.1047        30.1667      -0.248351
            302            302        30.2713        30.3333       -0.24849
            303            303        30.4378           30.5      -0.248632
            304            304        30.6044        30.6667        -0.2488
            305            305         30.771        30.8333      -0.248931
            306            306        30.9375             31      -0.249059
            307            307        31.1041        31.1667      -0.249192
            308            308        31.2707        31.3333      -0.249306
            309            309        31.4372           31.5      -0.249409
            310            310        31.6038        31.6667      -0.249519
            311            311        31.7704        31.8333      -0.249715
            312            312        31.9369             32      -0.249991
            313            313        32.1034        32.1667      -0.250214
            314            314          32.27        32.3333      -0.250423
            315            315        32.4365           32.5      -0.250634
            316            316        32.6031        32.6667      -0.250826
            317            317        32.7696        32.8333      -0.251022
            318            318        32.9362             33      -0.251221
            319            319        33.1028        33.1667      -0.251419
            320            320        33.2693        33.3333      -0.251592
            321            321        33.4359           33.5      -0.251775
            322            322        33.6024        33.6667      -0.251963
            323            323         33.769        33.8333      -0.252155
            324            324        33.9355             34      -0.252335
            325            325        34.1021        34.1667      -0.252501
            326            326        34.2686        34.3333      -0.252655
            327            327        34.4352           34.5      -0.252806
            328            328        34.6018        34.6667      -0.252968
            329            329        34.7683        34.8333      -0.253103
            330            330        34.9349             35      -0.253251
            331            331        35.1015        35.1667      -0.253404
            332            332         35.268        35.3333      -0.253556
            333            333        35.4346           35.5      -0.253726
            334            334        35.6011        35.6667      -0.253876
            335            335        35.7677        35.8333      -0.254016
            336            336        35.9343             36      -0.254161
            337            337        36.1008        36.1667      -0.254307
            338            338        36.2674        36.3333       -0.25446
            339            339         36.434           36.5      -0.254609
            340            340        36.6005        36.6667      -0.254752
            341            341        36.7671        36.8333      -0.254902
            342            342        36.9336             37      -0.255067
            343            343        37.1002        37.1667      -0.255202
            344            344        37.2668        37.3333      -0.255277
            345            345        37.4333           37.5      -0.255546
            346            346        37.5999        37.6667      -0.255745
            347            347        37.7664        37.8333      -0.255946
            348            348        37.9329             38      -0.256181
            349            349        38.0995        38.1667      -0.256272
            350            350        38.2661        38.3333      -0.256422
            351            351        38.4326           38.5      -0.256569
            352            352        38.5992        38.6667      -0.256711
            353            353        38.7658        38.8333      -0.256858
            354            354        38.9323             39       -0.25701
            355            355        39.0989        39.1667       -0.25716
            356            356        39.2654        39.3333      -0.257309
            357            357         39.432           39.5      -0.257447
            358            358        39.5986        39.6667      -0.257597
            359            359        39.7652        39.8333      -0.257625
            360            360        39.9318             40      -0.257572
            361            361        40.0984        40.1667      -0.257526
            362            362        40.2649        40.3333      -0.257732
